LastName,FemaleFirstName,MaleFirstName,LastNameNationalChars,FemaleFirstNameNationalChars,MaleFirstNameNationalChars
Nowak,Julia,Andrzej,Nowak,Julia,Jakub
Kowalski,Aleksandra,Marcel,Kowalski,Aleksandra,Mateusz
Wisniewski,Wiktoria,Alan,Wiśniewski,Wiktoria,Kacper
Wojcik,Zuzanna,Artur,Wójcik,Zuzanna,Bartek
Kowalczyk,Natalia,Jerzy,Kowalczyk,Natalia,Jan
Kaminski,Maja,Borys,Kamiński,Maja,Michał
Lewandowski,Oliwia,Cezary,Lewandowski,Oliwia,Maciej
Dabrowski,Karolina,Jeremi,Dąbrowski,Karolina,Piotr
Zielinski,Zofia,Bruno,Zieliński,Zofia,Szymon
Szymanski,Weronika,Marek,Szymański,Weronika,Filip
Wozniak,Maria,Gabriel,Woźniak,Maria,Mikołaj
Kozlowski,Anna,Jacek,Kozłowski,Anna,Antoni
Jankowski,Gabriela,Ksawery,Jankowski,Gabriela,Aleksander
Mazur,Magdalena,Norbert,Mazur,Magdalena,Igor
Wojciechowski,Amelia,Witold,Wojciechowski,Amelia,Karol
Kwiatkowski,Alicja,Emil,Kwiatkowski,Alicja,Adam
Krawczyk,Hanna,Jedrzej,Krawczyk,Hanna,Franciszek
Piotrowski,Patrycja,Leon,Piotrowski,Patrycja,Maksymilian
Kaczmarek,Marta,Mariusz,Kaczmarek,Marta,Patryk
Grabowski,Martyna,Stefan,Grabowski,Martyna,Kamil
Nowakowski,Klaudia,Radoslaw,Nowakowski,Klaudia,Dawid
Pawlowski,Emilia,Arkadiusz,Pawłowski,Emilia,Krzysztof
Michalski,Dominika,Iwo,Michalski,Dominika,Wiktor
Nowicki,Katarzyna,Robert,Nowicki,Katarzyna,Stanisław
Adamczyk,Agata,Mieszko,Adamczyk,Agata,Paweł
Dudek,Paulina,Nikodem,Dudek,Paulina,Oskar
Zajac,Joanna,Ryszard,Zając,Joanna,Tomasz
Wieczorek,Malgorzata,Tadeusz,Wieczorek,Małgorzata,Wojciech
Jablonski,Kinga,Aleks,Jabłoński,Kinga,Dominik
Krol,Barbara,Alex,Król,Barbara,Łukasz
Majewski,Antonina,Konstanty,Majewski,Antonina,Hubert
Olszewski,Nikola,Blazej,Olszewski,Nikola,Adrian
Jaworski,Milena,Jaroslaw,Jaworski,Milena,Marcin
Wrobel,Pola,Ernest,Wróbel,Pola,Oliwier
Malinowski,Daria,Fabian,Malinowski,Daria,Damian
Pawlak,Kamila,Fryderyk,Pawlak,Kamila,Krystian
Witkowski,Izabela,Juliusz,Witkowski,Izabela,Sebastian
Walczak,Lena,Maksym,Walczak,Lena,Miłosz
Stepien,Nina,Aleksy,Stępień,Nina,Konrad
Gorski,Sandra,Gracjan,Górski,Sandra,Ignacy
Rutkowski,Iga,Maurycy,Rutkowski,Iga,Daniel
Michalak,Laura,Olgierd,Michalak,Laura,Eryk
